Date,USDvINR,VIX,CPI,UNCERT_IND
01-01-2013,,13.69,11.61616,133.149
02-01-2013,,13.71,11.61616,133.149
03-01-2013,,13.47,11.61616,133.149
04-01-2013,,13.37,11.61616,133.149
07-01-2013,,13.92,11.61616,133.149
08-01-2013,,13.27,11.61616,133.149
09-01-2013,,13.32,11.61616,133.149
10-01-2013,,13.27,11.61616,133.149
11-01-2013,,13.23,11.61616,133.149
14-01-2013,,13.7,11.61616,133.149
15-01-2013,,13.58,11.61616,133.149
16-01-2013,,13.99,11.61616,133.149
17-01-2013,,14.01,11.61616,133.149
18-01-2013,,13.89,11.61616,133.149
21-01-2013,,13.66,11.61616,133.149
22-01-2013,,13.89,11.61616,133.149
23-01-2013,,13.67,11.61616,133.149
24-01-2013,,14.46,11.61616,133.149
25-01-2013,,14.77,11.61616,133.149
28-01-2013,,15.17,11.61616,133.149
29-01-2013,,14.47,11.61616,133.149
30-01-2013,,14.38,11.61616,133.149
31-01-2013,,14.13,11.61616,133.149
01-02-2013,,13.76,12.0603,138.35072
04-02-2013,,14.34,12.0603,138.35072
05-02-2013,,14.61,12.0603,138.35072
06-02-2013,,14.26,12.0603,138.35072
07-02-2013,,14.89,12.0603,138.35072
08-02-2013,,15.16,12.0603,138.35072
11-02-2013,,15.65,12.0603,138.35072
12-02-2013,,15.31,12.0603,138.35072
13-02-2013,,15.14,12.0603,138.35072
14-02-2013,,15.09,12.0603,138.35072
15-02-2013,,15.24,12.0603,138.35072
18-02-2013,,16.29,12.0603,138.35072
19-02-2013,,15.81,12.0603,138.35072
20-02-2013,,15.6,12.0603,138.35072
21-02-2013,,16.94,12.0603,138.35072
22-02-2013,,16.79,12.0603,138.35072
25-02-2013,,16.73,12.0603,138.35072
26-02-2013,,17.36,12.0603,138.35072
27-02-2013,,16.23,12.0603,138.35072
28-02-2013,,14.86,12.0603,138.35072
01-03-2013,,14.06,11.44279,155.18349
04-03-2013,,13.67,11.44279,155.18349
05-03-2013,,13.39,11.44279,155.18349
06-03-2013,,13.4,11.44279,155.18349
07-03-2013,,13.07,11.44279,155.18349
08-03-2013,,13.34,11.44279,155.18349
11-03-2013,,14.25,11.44279,155.18349
12-03-2013,,15.13,11.44279,155.18349
13-03-2013,,16.2,11.44279,155.18349
14-03-2013,,14.66,11.44279,155.18349
15-03-2013,,15.16,11.44279,155.18349
18-03-2013,,15.85,11.44279,155.18349
19-03-2013,,16.71,11.44279,155.18349
20-03-2013,,16.66,11.44279,155.18349
21-03-2013,,16.51,11.44279,155.18349
22-03-2013,,15.54,11.44279,155.18349
25-03-2013,,16.36,11.44279,155.18349
26-03-2013,,15.8,11.44279,155.18349
28-03-2013,,15.22,11.44279,155.18349
01-04-2013,,14.85,10.2439,148.75081
02-04-2013,,14.1,10.2439,148.75081
03-04-2013,,14.87,10.2439,148.75081
04-04-2013,,15.85,10.2439,148.75081
05-04-2013,,16.16,10.2439,148.75081
08-04-2013,,16.77,10.2439,148.75081
09-04-2013,,16.82,10.2439,148.75081
10-04-2013,,16.49,10.2439,148.75081
11-04-2013,,16.97,10.2439,148.75081
12-04-2013,,16.45,10.2439,148.75081
15-04-2013,,16.61,10.2439,148.75081
16-04-2013,,16.25,10.2439,148.75081
17-04-2013,,16.36,10.2439,148.75081
18-04-2013,,15.36,10.2439,148.75081
22-04-2013,,16.22,10.2439,148.75081
23-04-2013,,15.07,10.2439,148.75081
25-04-2013,,14.2,10.2439,148.75081
26-04-2013,,13.88,10.2439,148.75081
29-04-2013,,14.33,10.2439,148.75081
30-04-2013,,15.1,10.2439,148.75081
02-05-2013,,16.28,10.67961,122.28458
03-05-2013,,15.55,10.67961,122.28458
06-05-2013,,15.84,10.67961,122.28458
07-05-2013,,16.5,10.67961,122.28458
08-05-2013,,16.76,10.67961,122.28458
09-05-2013,,16.6,10.67961,122.28458
10-05-2013,,16.86,10.67961,122.28458
11-05-2013,,16.84,10.67961,122.28458
13-05-2013,,17.51,10.67961,122.28458
14-05-2013,,17.17,10.67961,122.28458
15-05-2013,,18.13,10.67961,122.28458
16-05-2013,,17.74,10.67961,122.28458
17-05-2013,,17.57,10.67961,122.28458
20-05-2013,,17.71,10.67961,122.28458
21-05-2013,,17.88,10.67961,122.28458
22-05-2013,,17.72,10.67961,122.28458
23-05-2013,,18.73,10.67961,122.28458
24-05-2013,,17.7,10.67961,122.28458
27-05-2013,,17.03,10.67961,122.28458
28-05-2013,,17.12,10.67961,122.28458
29-05-2013,,17.86,10.67961,122.28458
30-05-2013,,16.04,10.67961,122.28458
31-05-2013,,16.99,10.67961,122.28458
03-06-2013,,17.29,11.05769,129.93832
04-06-2013,,17.26,11.05769,129.93832
05-06-2013,,16.78,11.05769,129.93832
06-06-2013,,17.35,11.05769,129.93832
07-06-2013,,17.35,11.05769,129.93832
10-06-2013,,18.11,11.05769,129.93832
11-06-2013,,19.49,11.05769,129.93832
12-06-2013,,18.85,11.05769,129.93832
13-06-2013,,19.44,11.05769,129.93832
14-06-2013,,18.35,11.05769,129.93832
17-06-2013,,18.18,11.05769,129.93832
18-06-2013,,18.29,11.05769,129.93832
19-06-2013,,18.46,11.05769,129.93832
20-06-2013,,19.19,11.05769,129.93832
21-06-2013,,19.03,11.05769,129.93832
24-06-2013,,21.01,11.05769,129.93832
25-06-2013,59.807999,21.14,11.05769,129.93832
26-06-2013,59.658001,21.07,11.05769,129.93832
27-06-2013,60.713001,18.85,11.05769,129.93832
28-06-2013,60.188,17.95,11.05769,129.93832
